satisfaction,evaluation,number_of_projects,average_montly_hours,time_spend_company,work_accident,churn,promotion,department,salary
0.38,530.0,two,157.0,3+,no,yes,no,sales,low
0.8,860.0,five,262.0,6+,no,yes,no,sales,medium
0.11,880.0,seven,272.0,4+,no,yes,no,sales,medium
0.72,870.0,five,223.0,5+,no,yes,no,sales,low
0.37,520.0,two,159.0,3+,no,yes,no,sales,low
0.41,500.0,two,153.0,3+,no,yes,no,sales,low
0.1,770.0,six,247.0,4+,no,yes,no,sales,low
0.92,850.0,five,259.0,5+,no,yes,no,sales,low
0.89,1000.0,five,224.0,5+,no,yes,no,sales,low
0.42,530.0,two,142.0,3+,no,yes,no,sales,low
0.45,540.0,two,135.0,3+,no,yes,no,sales,low
0.11,810.0,six,305.0,4+,no,yes,no,sales,low
0.84,920.0,four,234.0,5+,no,yes,no,sales,low
0.41,550.0,two,148.0,3+,no,yes,no,sales,low
0.36,560.0,two,137.0,3+,no,yes,no,sales,low
0.38,540.0,two,143.0,3+,no,yes,no,sales,low
0.45,470.0,two,160.0,3+,no,yes,no,sales,low
0.78,990.0,four,255.0,6+,no,yes,no,sales,low
0.45,510.0,two,160.0,3+,yes,yes,yes,sales,low
0.76,890.0,five,262.0,5+,no,yes,no,sales,low
0.11,830.0,six,282.0,4+,no,yes,no,sales,low
0.38,550.0,two,147.0,3+,no,yes,no,sales,low
0.09,950.0,six,304.0,4+,no,yes,no,sales,low
0.46,570.0,two,139.0,3+,no,yes,no,sales,low
0.4,530.0,two,158.0,3+,no,yes,no,sales,low
0.89,920.0,five,242.0,5+,no,yes,no,sales,low
0.82,870.0,four,239.0,5+,no,yes,no,sales,low
0.4,490.0,two,135.0,3+,no,yes,no,sales,low
0.41,460.0,two,128.0,3+,no,yes,no,accounting,low
0.38,500.0,two,132.0,3+,no,yes,no,accounting,low
0.09,620.0,six,294.0,4+,no,yes,no,accounting,low
0.45,570.0,two,134.0,3+,no,yes,no,hr,low
0.4,510.0,two,145.0,3+,no,yes,no,hr,low
0.45,550.0,two,140.0,3+,no,yes,no,hr,low
0.84,870.0,four,246.0,6+,no,yes,no,hr,low
0.1,940.0,six,255.0,4+,no,yes,no,technical,low
0.38,460.0,two,137.0,3+,no,yes,no,technical,low
0.45,500.0,two,126.0,3+,no,yes,no,technical,low
0.11,890.0,six,306.0,4+,no,yes,no,technical,low
